yaw,r,theta,Fn_BEM,Ft_BEM,Fn_SVEN,Ft_SVEN
-15.0,0.370559501483,290.0,24.47226488424438,7.3654093035377235,34.211253457114424,8.716139970991335
-15.0,0.370559501483,300.0,30.49040154238713,0.8897877360170865,34.063369991682926,9.017396411412989
-15.0,0.370559501483,310.0,31.39636083620115,0.9338499740515048,33.93736284042474,9.250501369659991
-15.0,0.370559501483,320.0,32.161574246474174,1.0168898804681863,33.688016452777696,9.40033499185496
-15.0,0.370559501483,330.0,32.66083446619102,1.1467687820265466,33.32405274543212,9.484126598677417
-15.0,0.370559501483,340.0,32.956976765526136,1.2680222934608796,32.97605582073579,9.53036404464081
-15.0,0.370559501483,350.0,33.08071425508515,1.3578900656908894,32.61989224562236,9.50708135410656
-15.0,0.421549791422,0.0,62.73288063870898,-3.295224705683093,58.16838167124931,-1.1463075683034294
-15.0,0.421549791422,10.0,62.3921504198262,-3.228433036968726,57.55573789390843,-1.212543372192876
-15.0,0.421549791422,20.0,61.64030996012848,-3.2191188762620637,56.85846222413274,-1.401182184404831
-15.0,0.421549791422,30.0,60.52377552868048,-3.277752358175954,56.06173660737971,-1.727608461900512
-15.0,0.421549791422,40.0,59.60135327504101,-3.3323634930892,54.8754615986553,-2.299182893943638
-15.0,0.421549791422,50.0,58.89396537188906,-3.441585976105055,53.4742644286794,-2.925965291572449
-15.0,0.421549791422,60.0,59.05551435967809,-3.787316239951275,52.97026301882074,-3.098815495981832
-15.0,0.421549791422,70.0,57.64254431680487,-4.232388635895256,52.57648627676093,-3.2956623994930534
-15.0,0.421549791422,80.0,55.92432833373315,-4.74050673699304,51.41395206196295,-3.799948335198859
-15.0,0.421549791422,90.0,54.20645621635958,-5.341560767068276,50.14853562206704,-4.455771553910381
-15.0,0.421549791422,100.0,52.31318831341184,-5.858958500756935,48.88801306465496,-5.103510563009394
-15.0,0.421549791422,110.0,49.858702176281895,-6.042454980174599,47.50606935216723,-5.5505798251373575
-15.0,0.421549791422,120.0,47.68778302875791,-5.8558839363390085,45.92523599838825,-5.640527232042107
-15.0,0.421549791422,130.0,45.64914349493324,-5.627259495905435,44.67664401701085,-5.496877235231698
-15.0,0.421549791422,140.0,44.52577821171179,-5.670602953278625,44.08928788942399,-5.574681312116231
-15.0,0.421549791422,150.0,43.73854881919433,-5.750180916930802,43.78981541503446,-5.6706449168258
-15.0,0.421549791422,160.0,43.23536805828661,-5.813059458501301,43.69878344855271,-5.745523449066941
-15.0,0.421549791422,170.0,43.06613481944452,-5.876709309037323,43.83075071100746,-5.801208619472026
-15.0,0.421549791422,180.0,43.13984131441522,-5.931877389398905,44.18411485901751,-5.836361030695954
-15.0,0.421549791422,190.0,43.39428149871922,-5.965442381513333,44.75556097653807,-5.849791742994313
-15.0,0.421549791422,200.0,43.8236215073656,-5.976184853195315,45.52690841145789,-5.838670989606015
