yaw,r,theta,V_eff_BEM,alpha_BEM,V_eff_SVEN,alpha_SVEN
-15.0,0.258134591992,30.0,16.359870105115064,42.465450888967645,19.109949569359205,46.084794771787145
-15.0,0.258134591992,40.0,16.35961192336457,43.09839017402637,18.820082435125133,46.892070232086624
-15.0,0.258134591992,50.0,16.361240037999963,43.90899845981757,18.505048600265397,47.86053775903325
-15.0,0.258134591992,60.0,16.364674767727227,44.8876183824979,18.18013439595241,48.98594383863631
-15.0,0.258134591992,70.0,16.36976355708006,46.01969500077357,17.853229268318895,50.236780313266486
-15.0,0.258134591992,80.0,16.376290746816323,47.28450419418728,17.53092065583836,51.561402213635546
-15.0,0.258134591992,90.0,16.383991783428282,48.65401624923129,17.23777076227261,52.96656676692022
-15.0,0.258134591992,100.0,16.392570616114373,50.09216217773226,16.95562454238306,54.3320098445963
-15.0,0.258134591992,110.0,16.401718416534546,51.55480864897183,16.703214947030062,55.64513601165108
-15.0,0.258134591992,120.0,16.411131326811823,52.99071933771339,16.485403784196176,56.8503910485216
-15.0,0.258134591992,130.0,16.42052489414616,54.34366104591143,16.309338752687868,57.9063960588686
-15.0,0.258134591992,140.0,16.42964334762976,55.55560848494144,16.181023628627887,58.78005491313087
-15.0,0.258134591992,150.0,16.43826292218573,56.57076084259224,16.100335147137912,59.4294468178501
-15.0,0.258134591992,160.0,16.446189812475986,57.33988349016408,16.068265089713503,59.82013893242143
-15.0,0.258134591992,170.0,16.45325462894163,57.82439742021562,16.08549414876602,59.93638749748504
-15.0,0.258134591992,180.0,16.45930598636847,57.99967823892128,16.151882918324798,59.77578508758312
-15.0,0.258134591992,190.0,16.46420582228619,57.85716215067608,16.266727166128803,59.34854224534903
-15.0,0.258134591992,200.0,16.467828257828778,57.40502970963382,16.428507645936133,58.67654459004943
-15.0,0.258134591992,210.0,16.47006258177964,56.66740696890015,16.634754001026668,57.7924230032371
-15.0,0.258134591992,220.0,16.470819683369704,55.68218103971533,16.884173042704685,56.74330964563132
-15.0,0.258134591992,230.0,16.470040362006625,54.49768449718636,17.16994963881158,55.57245191937864
